OriginalOrderInBatch,ExternalSampleID,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,PlateNumber,WellAddress,PlateName,ExternalSampleIDwithoutREP,StripTubeindex,PlateIndex,DNA.concentration,Volume,DOB,Date.collected,AgeInHDstudy,SpeciesLatinName,SpeciesCommonName,Tissue,TissueOriginal,Experiment,Genotype.HDexperiment.,Animal.ID,GENDER,Female,HD.status,GENOTYPE,CastratedMale,DNAmethBatch,CastrationSubset
1,HD801,203203210131_R01C01,4.25,100,yes,Plate 01,A01,Plate 01,HD801,1,Plate 01,59,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD801,female,1,Control,Control,,1,
2,HD807,203203210131_R02C01,4.25,100,yes,Plate 01,B01,Plate 01,HD807,2,Plate 01,41,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD807,female,1,Transgenic,Transgenic,,1,
3,HD897,203203210131_R03C01,4,100,yes,Plate 01,C01,Plate 01,HD897,3,Plate 01,80,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Control,HD897,female,1,Control,Control,,1,
4,HD859,203203210131_R04C01,4.25,100,yes,Plate 01,D01,Plate 01,HD859,4,Plate 01,371,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD859,male,0,Transgenic,Transgenic,,1,
5,HD842,203203210131_R05C01,4.25,100,yes,Plate 01,E01,Plate 01,HD842,5,Plate 01,149,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD842,female,1,Control,Control,,1,
6,HD1059,203203210131_R06C01,2.916666667,100,yes,Plate 01,F01,Plate 01,HD1059,6,Plate 01,58,20,10-Mar,1/31/2013,2.916666667,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD1059,female,1,Transgenic,Transgenic,,1,
7,HD1072,203203210131_R01C02,2.916666667,100,yes,Plate 01,G01,Plate 01,HD1072,7,Plate 01,104,20,10-Mar,1/31/2013,2.916666667,Ovis aries,Sheep,Blood,Blood,HD,Control,HD1072,female,1,Control,Control,,1,
8,HD988,203203210131_R02C02,3.666666667,100,yes,Plate 01,H01,Plate 01,HD988,8,Plate 01,87,20,9-Jun,1/31/2013,3.666666667,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD988,female,1,Transgenic,Transgenic,,1,
9,HD817,203203210131_R03C02,4.25,100,yes,Plate 01,A02,Plate 01,HD817,9,Plate 01,94,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD817,male,0,Control,Control,,1,
10,REP_HD807,203203210131_R04C02,4.25,100,yes,Plate 01,B02,Plate 01,HD807,2,Plate 01,41,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD807,female,1,Transgenic,Transgenic,,1,
11,HD935,203203210131_R05C02,4,100,yes,Plate 01,C02,Plate 01,HD935,11,Plate 01,100,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Control,HD935,female,1,Control,Control,,1,
12,REP_HD859,203203210131_R06C02,4.25,100,yes,Plate 01,D02,Plate 01,HD859,4,Plate 01,371,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD859,male,0,Transgenic,Transgenic,,1,
13,HD818,203203210135_R01C01,4.25,100,yes,Plate 01,E02,Plate 01,HD818,13,Plate 01,116,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD818,male,0,Control,Control,,1,
14,REP_HD1059,203203210135_R02C01,2.916666667,100,yes,Plate 01,F02,Plate 01,HD1059,6,Plate 01,58,20,10-Mar,1/31/2013,2.916666667,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD1059,female,1,Transgenic,Transgenic,,1,
15,HD870,203203210135_R03C01,4.25,100,yes,Plate 01,G02,Plate 01,HD870,15,Plate 01,89,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD870,male,0,Control,Control,,1,
16,REP_HD988,203203210135_R04C01,3.666666667,100,yes,Plate 01,H02,Plate 01,HD988,8,Plate 01,87,20,9-Jun,1/31/2013,3.666666667,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD988,female,1,Transgenic,Transgenic,,1,
17,HD928,203203210135_R05C01,4,100,yes,Plate 01,A03,Plate 01,HD928,17,Plate 01,231,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Control,HD928,female,1,Control,Control,,1,
18,HD880,203203210135_R06C01,4.25,100,yes,Plate 01,B03,Plate 01,HD880,18,Plate 01,17,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD880,female,1,Transgenic,Transgenic,,1,
19,HD1078,203203210135_R01C02,2.916666667,100,yes,Plate 01,C03,Plate 01,HD1078,19,Plate 01,257,20,10-Mar,1/31/2013,2.916666667,Ovis aries,Sheep,Blood,Blood,HD,Control,HD1078,male,0,Control,Control,,1,
20,HD853,203203210135_R02C02,4.25,100,yes,Plate 01,D03,Plate 01,HD853,20,Plate 01,55,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD853,male,0,Transgenic,Transgenic,,1,
21,HD1099,203203210135_R03C02,2.916666667,100,yes,Plate 01,E03,Plate 01,HD1099,21,Plate 01,153,20,10-Mar,1/31/2013,2.916666667,Ovis aries,Sheep,Blood,Blood,HD,Control,HD1099,male,0,Control,Control,,1,
22,HD869,203203210135_R04C02,4.25,100,yes,Plate 01,F03,Plate 01,HD869,22,Plate 01,58,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD869,female,1,Transgenic,Transgenic,,1,
23,REP_HD801,203203210135_R05C02,4.25,100,yes,Plate 01,G03,Plate 01,HD801,1,Plate 01,59,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD801,female,1,Control,Control,,1,
24,HD824,203203210135_R06C02,4.25,100,yes,Plate 01,H03,Plate 01,HD824,24,Plate 01,165,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD824,female,1,Transgenic,Transgenic,,1,
25,REP_HD897,203203210022_R01C01,4,100,yes,Plate 01,A04,Plate 01,HD897,3,Plate 01,80,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Control,HD897,female,1,Control,Control,,1,
26,HD805,203203210022_R02C01,4.25,100,yes,Plate 01,B04,Plate 01,HD805,26,Plate 01,155,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD805,female,1,Transgenic,Transgenic,,1,
27,REP_HD842,203203210022_R03C01,4.25,100,yes,Plate 01,C04,Plate 01,HD842,5,Plate 01,149,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD842,female,1,Control,Control,,1,
28,HD900,203203210022_R04C01,4,100,yes,Plate 01,D04,Plate 01,HD900,28,Plate 01,84,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD900,female,1,Transgenic,Transgenic,,1,
29,REP_HD1072,203203210022_R05C01,2.916666667,100,yes,Plate 01,E04,Plate 01,HD1072,7,Plate 01,104,20,10-Mar,1/31/2013,2.916666667,Ovis aries,Sheep,Blood,Blood,HD,Control,HD1072,female,1,Control,Control,,1,
30,HD816,203203210022_R06C01,4.25,100,yes,Plate 01,F04,Plate 01,HD816,30,Plate 01,166,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD816,female,1,Transgenic,Transgenic,,1,
31,REP_HD817,203203210022_R01C02,4.25,100,yes,Plate 01,G04,Plate 01,HD817,9,Plate 01,94,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD817,male,0,Control,Control,,1,
32,HD317,203203210022_R02C02,5.758333333,100,yes,Plate 01,H04,Plate 01,HD317,32,Plate 01,103,20,6-Aug,5/23/2012,5.758333333,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD317,male,0,Transgenic,Transgenic,,1,
33,REP_HD935,203203210022_R03C02,4,100,yes,Plate 01,A05,Plate 01,HD935,11,Plate 01,100,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Control,HD935,female,1,Control,Control,,1,
34,HD856,203203210022_R04C02,4.25,100,yes,Plate 01,B05,Plate 01,HD856,34,Plate 01,215,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD856,female,1,Transgenic,Transgenic,,1,
35,REP_HD818,203203210022_R05C02,4.25,100,yes,Plate 01,C05,Plate 01,HD818,13,Plate 01,116,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD818,male,0,Control,Control,,1,
36,HD841,203203210022_R06C02,4.25,100,yes,Plate 01,D05,Plate 01,HD841,36,Plate 01,219,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD841,female,1,Transgenic,Transgenic,,1,
37,REP_HD870,203203210024_R01C01,4.25,100,yes,Plate 01,E05,Plate 01,HD870,15,Plate 01,89,20,8-Nov,2/1/2013,4.25,Ovis aries,Sheep,Blood,Blood,HD,Control,HD870,male,0,Control,Control,,1,
38,HD376,203203210024_R02C01,5.238888889,100,yes,Plate 01,F05,Plate 01,HD376,38,Plate 01,121,20,7-Feb,5/23/2012,5.238888889,Ovis aries,Sheep,Blood,Blood,HD,Transgenic,HD376,female,1,Transgenic,Transgenic,,1,
39,REP_HD928,203203210024_R03C01,4,100,yes,Plate 01,G05,Plate 01,HD928,17,Plate 01,231,20,9-Feb,1/31/2013,4,Ovis aries,Sheep,Blood,Blood,HD,Control,HD928,female,1,Control,Control,,1,
