Column,Row,Tag,Mass (kg),Date,Ram/wether,Nanodrop readings (ng/uL),PicoGreen DNA quant,Name
5,D,2748,25.5,3-May-19,Ram,47.2,36.24830121,RAM_D5_2748_2018
11,B,2750,32,3-May-19,Ram,21.3,15.46895795,RAM_B11_2750_2018
7,B,2751,34.5,3-May-19,Ram,28.1,25.88636848,RAM_B7_2751_2018
10,F,2752,29.5,3-May-19,Ram,24.6,12.93079319,RAM_F10_2752_2018
4,C,2753,28.5,3-May-19,Ram,21.5,15.4499956,RAM_C4_2753_2018
4,E,2755,30.5,3-May-19,Ram,17.4,8.820146874,RAM_E4_2755_2018
5,F,2757,26.5,3-May-19,Ram,28.1,22.84743515,RAM_F5_2757_2018
11,D,2759,27,3-May-19,Ram,32.9,28.01264307,RAM_D11_2759_2018
12,D,2760,27.5,3-May-19,Ram,14.3,30.93661166,RAM_D12_2760_2018
11,F,2761,27,3-May-19,Ram,33.5,35.48875433,RAM_F11_2761_2018
9,E,2763,40.5,3-May-19,Ram,32.7,38.09584051,RAM_E9_2763_2018
7,E,2766,30,3-May-19,Ram,44.9,17.86900331,RAM_E7_2766_2018
6,D,2767,26.5,3-May-19,Ram,27.5,30.04202077,RAM_D6_2767_2018
12,A,2768,30.5,3-May-19,Ram,26.4,61.51341496,RAM_A12_2768_2018
7,D,2772,40.5,3-May-19,Ram,25.1,26.22775139,RAM_D7_2772_2018
4,D,2773,32,3-May-19,Ram,42.4,44.57194171,RAM_D4_2773_2018
6,B,2774,31.5,3-May-19,Ram,23.6,13.41840017,RAM_B6_2774_2018
10,B,2776,30.5,3-May-19,Ram,59.5,35.89171249,RAM_B10_2776_2018
1,A,2778,30,3-May-19,Ram,21.4,30.470005,RAM_A1_2778_2018
1,E,2779,28.5,3-May-19,Ram,7.5,9.431214011,RAM_E1_2779_2018
12,C,2780,29,3-May-19,Ram,22.3,22.28222252,RAM_C12_2780_2018
7,A,2781,30.5,3-May-19,Ram,14,25.73921939,RAM_A7_2781_2018
9,C,2782,30.5,3-May-19,Ram,20.7,22.91688191,RAM_C9_2782_2018
8,B,2783,31.5,3-May-19,Ram,37.8,40.81213316,RAM_B8_2783_2018
9,A,2790,32.5,3-May-19,Ram,28.4,29.02176258,RAM_A9_2790_2018
8,A,2792,28.5,3-May-19,Ram,23.4,23.03914162,RAM_A8_2792_2018
9,B,2793,41,3-May-19,Ram,10.1,21.62598595,RAM_B9_2793_2018
9,F,2794,36.5,3-May-19,Ram,30.7,22.2871327,RAM_F9_2794_2018
7,F,2797,27.5,3-May-19,Ram,36.7,20.70127895,RAM_F7_2797_2018
8,C,2798,33,3-May-19,Ram,65.5,34.06025616,RAM_C8_2798_2018
6,C,2799,29.5,3-May-19,Ram,29.2,36.47842952,RAM_C6_2799_2018
6,A,2800,26,3-May-19,Wether,62.3,48.34456294,WETHER_A6_2800_2018
10,C,2801,32.5,3-May-19,Wether,33.3,28.57796386,WETHER_C10_2801_2018
3,E,2802,26.5,3-May-19,Wether,27.8,23.81946065,WETHER_E3_2802_2018
8,E,2803,27.5,3-May-19,Wether,37.7,34.99914135,WETHER_E8_2803_2018
10,E,2804,29.5,3-May-19,Wether,49.6,39.11389673,WETHER_E10_2804_2018
7,C,2805,26.5,3-May-19,Wether,33.5,26.84441482,WETHER_C7_2805_2018
1,C,2806,26.5,3-May-19,Wether,40.4,28.00131922,WETHER_C1_2806_2018
4,F,2809,25,3-May-19,Wether,33.2,23.73440075,WETHER_F4_2809_2018
8,D,2811,32.5,3-May-19,Wether,28.4,16.35593952,WETHER_D8_2811_2018
