Basename,SpeciesLatinName,OriginalOrderInBatch,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,Tissue,Female,SpeciesCommonName,ExternalSampleID,Folder,Female.maturity..days.,Male.maturity..days.,meanMaturityYears,maxAgeFromData,HD.status,CastratedMale,CastrationSubset,Experiment,forTrain,forTest,train,DNAmAgebasedOnAll,AgeAccelbasedOnAll,AgeAccelinTestbasedOnAll,DNAmAgeLOO,AgeAccelLOO
203203210131_R01C01,Ovis aries,1,4.25,100,yes,Blood,Female,Sheep,HD801,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,4.50769117947699,0.334937549046462,NA,4.70073400247577,0.570304286295175
203203210131_R02C01,Ovis aries,2,4.25,100,yes,Blood,Female,Sheep,HD807,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Transgenic,NA,,HD,FALSE,TRUE,1,4.54798860656813,0.375234976137275,NA,4.7557150221238,0.62528530594296
203203210131_R03C01,Ovis aries,3,4,100,yes,Blood,Female,Sheep,HD897,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,4.03483094760566,0.0891119240884222,NA,4.03891720375056,0.123406216365025
203203210131_R04C01,Ovis aries,4,4.25,100,yes,Blood,Male,Sheep,HD859,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Transgenic,NA,,HD,FALSE,TRUE,1,3.90207955294802,-0.270674077482775,NA,3.64583667793097,-0.48459303824981
203203210131_R05C01,Ovis aries,5,4.25,100,yes,Blood,Female,Sheep,HD842,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,3.76669685004739,-0.406056780383401,NA,3.58929712179777,-0.541132594383015
203203210131_R06C01,Ovis aries,6,2.916666667,100,yes,Blood,Female,Sheep,HD1059,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Transgenic,NA,,HD,FALSE,TRUE,1,3.51945855296579,0.557556159104556,NA,3.92691669185428,0.942720195628239
203203210131_R01C02,Ovis aries,7,2.916666667,100,yes,Blood,Female,Sheep,HD1072,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,3.56665552558005,0.604753131718817,NA,3.99608923054134,1.0118927343153
203203210131_R02C02,Ovis aries,8,3.666666667,100,yes,Blood,Female,Sheep,HD988,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Transgenic,NA,,HD,FALSE,TRUE,1,3.91690198843538,0.273895773833496,NA,4.04512283083267,0.416170148220906
203203210131_R03C02,Ovis aries,9,4.25,100,yes,Blood,Male,Sheep,HD817,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,4.16735354066335,-0.00540008976744628,NA,4.11597777609133,-0.0144519400894539
203203210131_R04C02,Ovis aries,10,4.25,100,yes,Blood,Female,Sheep,REP_HD807,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Transgenic,NA,,HD,FALSE,TRUE,1,4.30391418293883,0.131160552508036,NA,4.36284375904095,0.232414042860167
203203210131_R05C02,Ovis aries,11,4,100,yes,Blood,Female,Sheep,HD935,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,4.11736226776978,0.171643244252536,NA,4.20513118141113,0.289620194025597
203203210131_R06C02,Ovis aries,12,4.25,100,yes,Blood,Male,Sheep,REP_HD859,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Transgenic,NA,,HD,FALSE,TRUE,1,3.79328129371453,-0.379472336716264,NA,3.55509656894604,-0.575333147234742
203203210135_R01C01,Ovis aries,13,4.25,100,yes,Blood,Male,Sheep,HD818,N18.2018-9300SheepSkinBloodTimHoreRussellSnell,548,914,2.0027397260274,22.8,Control,NA,,HD,TRUE,FALSE,1,3.97573711522399,-0.197016515206803,NA,3.8138172242223,-0.316612491958481
