DCid	Species	GSMID	Factor	Cell_line	Cell_type	Tissue_type	FastQC	UniquelyMappedRatio	PBC	PeaksFoldChangeAbove10	FRiP	PeaksUnionDHSRatio
1	Homo sapiens	GSM448026	BTAF1	HeLa	Epithelium	Cervix	9.0	0.0502	0.88	406.0	0.094809300934	0.35237258348000006
2	Homo sapiens	GSM448027	GAPDH	HeLa	Epithelium	Cervix	9.0	0.0274	0.9309999999999999	248.0	0.175196234005	0.247081712062
4	Homo sapiens	GSM540707	EGR1	K562	Erythroblast	Bone Marrow	9.0	0.0845	0.893	500.0	0.0364623809524	0.522969837587
6	Homo sapiens	GSM460127	TCF4	LS174T	Epithelium	Colon	9.0	0.0007	0.8190000000000001	7.0	0.021363742145700002	0.33333333333299997
8	Homo sapiens	GSM460125	TCF4	LS174T	Epithelium	Colon	9.0	0.0583	0.34600000000000003	22.0	0.00440024386669	0.510204081633
9	Homo sapiens	GSM460124	TCF4	LS174T	Epithelium	Colon	9.0	0.138	0.37200000000000005	1043.0	0.0500728359011	0.865091463415
11	Homo sapiens	GSM460122	TCF4	LS174T	Epithelium	Colon	9.0	0.11800000000000001	0.7170000000000001	2352.0	0.09575749554549999	0.8908
12	Homo sapiens	GSM460121	TCF4	LS174T	Epithelium	Colon	9.0	0.0013	0.978	0.0	0.0	
17	Homo sapiens	GSM638201	TERF1	BJ	Fibroblast	Skin	9.0	0.2922	0.878	34.0	0.00357326552776	0.6527777777780001
18	Homo sapiens	GSM638202	TERF2	BJ	Fibroblast	Skin	9.0	0.2587	0.91	31.0	0.00268326676844	0.620689655172
84	Homo sapiens	GSM353640	AR	22RV1	Epithelium	Prostate	32.0	0.424	0.848	23.0	0.0008380642493139999	0.7959183673469999
93	Homo sapiens	GSM520382	PHF8	HEK293T	Epithelium	Embryonic Kidney	25.0	0.6487	0.992	3725.0	0.0509395	0.9706
276	Homo sapiens	GSM539547	SMAD3	BG03	Embryonic Stem Cell	Embryo	29.0	0.4633	0.9790000000000001	7528.0	0.17333975	0.9674
278	Homo sapiens	GSM539548	SMAD3	BG03	Embryonic Stem Cell	Embryo	31.0	0.6874	0.968	1286.0	0.02201275	0.9656
279	Homo sapiens	GSM508792	BRD7	BJ	Fibroblast	Skin	32.0	0.5881	0.945	75.0	0.00115975	0.481865284974
280	Homo sapiens	GSM508791	BRD7	BJ	Fibroblast	Skin	32.0	0.5765	0.9520000000000001	496.0	0.018488	0.9208
291	Homo sapiens	GSM508794	TP53	BJ	Fibroblast	Skin	32.0	0.5379	0.907	79.0	0.00112	0.393442622951
292	Homo sapiens	GSM508793	TP53	BJ	Fibroblast	Skin	32.0	0.5067	0.929	135.0	0.00189025	0.677902621723
356	Homo sapiens	GSM575225	CDX2	Caco-2	Epithelium	Colon	31.0	0.8191	0.9640000000000001	4986.0	0.06660049999999999	0.9662
357	Homo sapiens	GSM575224	CDX2	Caco-2	Epithelium	Colon	31.0	0.8132	0.961	1118.0	0.01652775	0.9528
361	Homo sapiens	GSM575227	GATA6	Caco-2	Epithelium	Colon	35.0	0.7891	0.943	111.0	0.002042	0.869426751592
362	Homo sapiens	GSM575226	GATA6	Caco-2	Epithelium	Colon	36.0	0.6875	0.8909999999999999	6384.0	0.09097899999999999	0.8916
371	Homo sapiens	GSM575229	HNF4A	Caco-2	Epithelium	Colon	37.0	0.8132	0.922	14748.0	0.16060325	0.9262
372	Homo sapiens	GSM575228	HNF4A	Caco-2	Epithelium	Colon	37.0	0.7352	0.89	5020.0	0.059017999999999994	0.9412
384	Homo sapiens	GSM610330	RUNX1	CMK	Megakaryocyte	Blood	23.0	0.5627	0.94	2453.0	0.03092475	0.9674
392	Homo sapiens	GSM732904	NOTCH1	CUTLL1	T Lymphocyte	Blood	33.0	0.6962	0.982	4728.0	0.10090750000000001	0.9536
393	Homo sapiens	GSM732903	NOTCH1	CUTLL1	T Lymphocyte	Blood	33.0	0.7936	0.996	2002.0	0.02801075	0.9216
394	Homo sapiens	GSM732906	RBPJ	CUTLL1	T Lymphocyte	Blood	33.0	0.6834	0.9790000000000001	2760.0	0.04654075	0.9558
395	Homo sapiens	GSM732905	RBPJ	CUTLL1	T Lymphocyte	Blood	33.0	0.7859	0.997	1147.0	0.01339875	0.9326
396	Homo sapiens	GSM732907	ZNF143	CUTLL1	T Lymphocyte	Blood	37.0	0.7548	0.9470000000000001	5409.0	0.23003075	0.907
397	Homo sapiens	GSM586973	IGF1R	DFB	Melanocyte	Skin	24.0	0.6043	0.925	24.0	0.00163442024231	0.605263157895
460	Homo sapiens	GSM589243	ESR1	ECC-1	Epithelium	Endometrium	35.0	0.4792	0.978	372.0	0.00372575	0.83883248731
461	Homo sapiens	GSM589242	ESR1	ECC-1	Epithelium	Endometrium	39.0	0.5241	0.9790000000000001	40.0	0.00094075	0.590476190476
534	Homo sapiens	GSM558678	ETV1	GIST48	Mesenchymal Stem Cell	Stomach	33.0	0.44299999999999995	0.9890000000000001	8026.0	0.07652925	0.9322
542	Homo sapiens	GSM537063	E2F4	GM06990	B Lymphocyte	Blood	30.0	0.4003	0.9620000000000001	591.0	0.013308007212100001	0.958885017422
559	Homo sapiens	GSM558633	VDR	GM10855	Lymphocyte	Blood	30.0	0.7718	0.972	2447.0	0.0462965	0.9428
560	Homo sapiens	GSM558632	VDR	GM10855	Lymphocyte	Blood	30.0	0.7592	0.971	3001.0	0.05518475	0.9442
561	Homo sapiens	GSM558631	VDR	GM10855	Lymphocyte	Blood	31.0	0.7008	0.96	950.0	0.02544525	0.9624
562	Homo sapiens	GSM558630	VDR	GM10855	Lymphocyte	Blood	30.0	0.7404	0.9640000000000001	401.0	0.01527075	0.9608
564	Homo sapiens	GSM558637	VDR	GM10861	Lymphocyte	Blood	30.0	0.8086	0.981	3468.0	0.06791900000000001	0.953
565	Homo sapiens	GSM558636	VDR	GM10861	Lymphocyte	Blood	30.0	0.8	0.977	3604.0	0.07677325	0.9514
566	Homo sapiens	GSM558635	VDR	GM10861	Lymphocyte	Blood	30.0	0.7797	0.975	1305.0	0.0411115	0.9636
